node,distance to depot,demand
0,0,0
1,113,0
2,99,0
3,46,0
4,39,0
5,70,0
6,49,111
7,54,0
8,31,0
9,14,0
10,43,124
11,39,0
12,9,0
13,8,146
14,11,0
15,11,0
16,21,0
17,6,0
18,6,0
19,23,0
20,11,0
21,20,0
22,20,0
23,24,0
24,18,0
25,17,85
26,18,246
27,17,106
28,20,0
29,18,0
30,20,0
31,16,1676
32,30,187
33,22,0
34,23,165
35,17,0
36,20,0
37,18,0
38,12,0
39,33,0
40,19,0
41,19,163
42,23,0
43,50,0
44,39,0
45,19,0
46,24,0
47,24,161
48,29,0
49,26,0
50,22,152
51,77,0
52,56,0
53,93,0
54,88,0
55,69,0
56,71,0
57,70,0
58,39,0
59,39,0
60,34,0
61,36,0
62,87,0
63,115,0
64,106,0
65,57,0
66,71,244
67,106,0
68,100,0
69,99,0
70,167,0
71,201,160
72,121,1479
73,117,0
74,125,0
75,110,184
76,105,159
77,123,0
78,120,0
79,125,0
80,110,0
81,95,0
82,131,0
83,115,157
84,115,170
85,112,110
86,111,127
87,112,0
88,114,0
89,108,242
90,112,0
91,112,124
92,111,183
93,83,102
94,94,220
95,124,631
96,121,145
97,123,0
98,124,213
99,131,0
100,127,198
101,157,0
102,133,0
103,148,0
104,153,0
105,144,167
106,146,153
107,164,0
108,172,0
109,171,0
110,166,0
111,166,127
112,189,0
113,180,0
114,177,0
115,180,0
116,191,0
117,176,0
118,177,163
119,187,0
120,188,0
121,186,0
122,186,0
